15,14,name,"Name","Name","","Naam"
15,15,club,"Club","Verein","","Club"
15,20,email,"Email","E-Mail","","Email"
15,23,profile,"Profile","Profil","","Profiel"
16,0,ranking,"Ranking","Rangliste","","Rangschikking"
16,1,contest,"Contest","Wettbewerb","","WEdstrijd"
16,6,season,"Season","Saison","","Seizoen"
16,7,category,"Category","Kategorie","","Categorie"
16,8,pilot,"Pilot","Pilot","","Vlieger"
16,9,gliderClass,"Glider Class","Flugzeugklasse","","Vliegtuigklasse"
16,10,rank,"Rank","Rang","","Rang"
16,11,totalPoints,"Total Points","Gesamtpunkte","","Punten totaal"
16,12,flight,"Flight","Flug","","Vlucht"
16,13,show,"show","anzeigen","","Laat zien"
17,0,open,"Open","Offen","","Open"
17,1,fifteenMeter,"15 m","15 m","","15m"
17,2,eighteenMeter,"18 m","18 m","","18m"
17,3,standard,"Standard","Standart","","Standaard"
17,4,club,"Club","Verein","","Club"
17,5,doubleSeater,"Double Seater","Doppelsitzer","","Tweezitter"
17,6,glider,"Glider","Segelflugzeug","","Zweefvliegtuig"
17,7,fes,"FES","FES","","FES"
17,8,engine,"Engine","Motor","","Motor"
17,9,paraglider,"Paraglider","Paragleiter","","Schermvlieger"
17,10,hangGlider,"Hang Glider","Drachen","","Deltavlieger"
17,11,ulGlider,"UL Glider","UL Gleiter","","UL Zweefvliegtuig"
17,12,waiting,"Waiting","Wartend","","Wachtend"
17,13,processing,"Processing","Wird verarbeitet","","Wordt verwerkt"
17,14,filterPlaceholder,"Pilot, airport, date, aircraft","Pilot, Datum, Flugplatz/zeug","","Vlieger, vliegveld, datum, vliegtuig"
17,15,flights,"Flights","Flüge","","Vluchten"
17,16,junior,"Junior","Junior","","Junior"
17,17,male,"Male","Männlich","","Man"
17,18,female,"Female","Weiblich","","Vrouw"
17,19,other,"Other","Divers","","Anders"
17,20,index,"Index","Index","","Index"
17,21,fesLong,"Front electric sustainer","Elekrische Unterstützung","","Electrische ondersteuning"
17,22,openFlight,"Open flight","Flug öffnen","","Vlucht openen"
17,23,mutiflight,"Multiflight","Mehrfachflug","","Meerdere vluchten"
17,24,errorAuthTitle,"Session expired","Sitzung abgelaufen","","Sessie vervallen"
17,25,errorAuth,"Please log in again","Bitte logge dich erneut ein","","Log opniew in"
17,26,errorServerTitle,"Service unavailable","Dienst nicht erreichbar","","Dienst niet beschikbaar"
17,27,errorServer,"Please try again later or contact us","Bitte versuche es später erneut oder kontaktiere uns","","Probeer het later nog eens"
17,28,errorFormTitle,"Attention","Achtung","","Let op!"
17,29,errorForm,"Please check your form inputs","Bitte prüfe deine Formulareingaben","","Controleer het formulier"
18,0,story,"Story","Geschichte","","Verhaal"
18,1,fullscreen,"Fullscreen","Vollbild","","Volledig scherm"
18,2,delete,"Delete","Löschen","","Verwijderen"
18,3,beforeTakeoff,"Before takeoff","Vor dem Start","","Voor de starts"
18,4,afterLanding,"After landing","Nach der Landung","","Na de landing"
18,5,timeless,"Timeless","Zeitlos","","Tijdloos"
18,6,addComment,"Add comment","Neuer Kommentar","","Nieuwe opmerking"
18,7,addVideo,"Add video","Neues Video","","Niewe video"
18,8,imageDragText,"Drag images here to upload or click to select","Ziehe Bilder hierher zum Hochladen oder klicke zum Auswählen","","Sleep je foto hierheen om ze te uploaden of klik hier om ze te slecteren"
18,9,imageDropText,"Drop images to upload","Lasse die Bilder los zum Hochladen","","Laat je foto's los om ze te uploaden"
18,10,writeComment,"Write comment..","Schreibe einen Kommentar..","","Plaats een opmerking..."
19,0,taskplaner,"Taskplaner","Aufgabenplaner","","Opdrachtplanner"
19,1,declaredTask,"Declared task","Deklarierte Aufgabe","","Gedeclareerde opdracht"
19,2,myTasks,"My tasks","Meine Aufgaben","","Mijn opdrachten"
19,3,declare,"declare","deklarieren","","declareren"
19,4,undeclare,"undeclare","entdeklarieren","","declaratie verwijderen"
19,5,private,"private","privat","","privé"
19,6,public,"public","öffentlich","","publiek"
19,7,newTask,"new task","neue Aufgabe","","nieuwe opdracht"
19,8,noTaskDeclared,"No declared task yet.","Noch keine Aufgabe deklariert.","","Nog geen gedeclareerde opdracht."
19,9,noTasks,"No tasks yet, plan a new one!","Keine Aufgaben bis jetzt, plane eine!","","Nog geen opdracht, plan een nieuwe!"
19,10,editTask,"Edit task","Aufgabe bearbeiten","","Opdracht aanpassen"
19,11,declared,"declared","deklariert","","Gedeclareerd"
19,12,undeclared,"undeclared","nicht deklariert","","declaratie verwijderd"
19,13,save,"Save","Speichern","","Opslaan"
19,14,delete,"Delete","Löschen","","Verwijderen"
19,15,taskName,"Task name","Aufgabenname","","Opdrachtnaam"
19,16,description,"Description","Beschreibung","","Omschrijving"
19,17,turnpoints,"Turnpoints","Wendepunkte","","Keerpunten"
